pattern,offset
569540,14118306
480296,13594331
944623,13075619
723075,12901302
124374,12803161
499249,12456225
804143,12203543
248967,12010312
159231,11711907
339645,11692247
636330,11445523
628803,11155379
437212,11145482
805289,11137823
366181,11100648
555384,11002286
764565,10991293
211889,10982749
669198,10891847
460119,10847883
106945,10763007
282234,10754626
699876,10719437
460075,10706059
991827,10593027
162542,10524622
120154,10428739
993641,10407431
623185,10407064
510771,10318135
732885,10273126
683234,10267083
705675,10265272
654454,10257042
460391,10143053
207326,10062075
901261,10039522
261763,10014231
257362,9992410
112360,9982544
711071,9934874
514586,9923050
679646,9879308
261102,9873254
810039,9870686
219786,9850595
604789,9837712
254041,9810494
612087,9780990
410199,9756699
611090,9755432
814987,9751400
467984,9750246
512144,9747188
810505,9726110
061428,9720195
112344,9695242
427537,9683574
072983,9658356
808668,9638823
670463,9633349
976489,9614357
575195,9610479
317345,9608296
098128,9606182
418755,9584196
686981,9573072
232512,9566485
287880,9565985
685069,9543942
773770,9539493
757707,9537679
720433,9529945
839484,9512009
333408,9502287
497539,9500437
267554,9476091
224569,9464763
928694,9460468
823133,9434853
820299,9419004
096080,9416726
959381,9387854
310899,9375821
937711,9371715
215095,9353582
429515,9326700
709148,9319304
537091,9319302
347312,9314214
134465,9312794
417980,9303697
840050,9302449
401264,9290030
169865,9281287
320425,9280894
061116,9279606
844323,9273939
160566,9265025
580975,9264935
864580,9262323
435562,9255685
128787,9253964
441136,9248417
886776,9230014
156725,9229354
699121,9227962
575088,9227053
253020,9210955
033171,9196168
626408,9189970
184337,9183929
894782,9173741
170933,9155537
830794,9147487
061574,9136608
306660,9135399
120749,9133876
019620,9129698
885770,9107394
549285,9106001
666929,9096793
410538,9096611
806345,9079579
881180,9074540
409302,9070007
182596,9046441
616963,9042146
494672,9037803
780714,9028347
616305,9018696
116687,9017875
588007,9014518
492160,9013696
336781,9007254
585487,8979732
120157,8977373
271905,8969656
392078,8961593
787226,8948829
586279,8942622
493643,8940299
943394,8937251
438758,8912151
394549,8900847
929272,8873231
310876,8864430
237711,8850351
653325,8847465
363548,8835436
294056,8834302
023415,8829164
763251,8815706
619987,8799159
226016,8798765
986618,8789441
308172,8780216
801842,8770258
165279,8753298
297744,8748305
960234,8738844
644553,8734221
535244,8734214
595455,8726700
919232,8723239
251929,8715673
846736,8711784
949603,8707430
556294,8704200
603096,8701250
473536,8686399
479685,8678986
350243,8677777
129113,8663490
915267,8656449
478383,8654749
514097,8652512
937602,8650640
623888,8644554
951589,8641105
876247,8630625
724885,8628427
878791,8628378
235253,8626492
048892,8626440
058813,8622080
377132,8616994
771975,8586256
780348,8577828
597014,8575648
391904,8565766
362015,8562086
866829,8560720
451501,8559228
646119,8546687
965195,8544826
609456,8544145
897824,8541929
703692,8540015
046906,8527762
110554,8522984
110554,8522984
000779,8521657
123514,8516623
620496,8516063
316419,8515352
639390,8513031
298664,8507661
789340,8504819
333645,8501195
762013,8499102
702528,8498281
994338,8489130
313013,8488621
638282,8485359
625844,8478720
903597,8474138
889916,8473079
240732,8465768
872312,8461025
606719,8458448
332773,8457465
769030,8457348
742130,8457233
398686,8456672
240002,8440404
763476,8438686
520789,8425997
827717,8424760
755588,8424464
412436,8421329
688172,8418134
227326,8408916
680830,8405924
004930,8404171
675140,8403780
646535,8402429
729109,8401766
710610,8394984
754341,8389678
459538,8383779
082887,8381416
314737,8361619
013627,8358631
856398,8358304
869486,8357389
582115,8357068
667206,8356231
067020,8356056
280940,8352260
476809,8351110
590792,8350007
964962,8341781
523946,8338851
250754,8333267
965714,8332511
202518,8332097
216454,8331753
493526,8320754
046767,8316865
070835,8315910
368905,8307753
090791,8304504
427897,8303965
780092,8300716
825460,8297630
069791,8296033
478771,8295419
201144,8292900
092075,8290227
995187,8289050
803492,8282458
883627,8281453
658421,8278273
963898,8272086
594322,8271688
058951,8270028
371991,8267655
573569,8262615
692703,8260294
125194,8259803
478913,8254824
482794,8252563
192746,8247710
579424,8246693
217076,8244741
113339,8241026
821721,8240858
577911,8239623
882427,8231766
494075,8230071
355430,8228021
833429,8227467
269478,8225868
158607,8217964
442152,8209033
334566,8206630
657192,8204675
386030,8194785
250046,8194160
067047,8187682
967802,8187347
372646,8187059
348519,8184467
907626,8184131
943481,8182234
429559,8180000
129482,8179568
946502,8175391
407598,8175383
560777,8171822
440908,8171653
119344,8166905
521839,8166552
396535,8165310
343169,8162584
224075,8157296
279290,8148857
161671,8148448
826031,8142422
308878,8140364
001497,8138136
326029,8136493
676880,8126051
652900,8121825
445639,8120320
924248,8111699
790509,8110351
551385,8104252
688419,8102800
452466,8102358
103250,8094373
370214,8094050
219343,8092140
146737,8090285
401072,8090269
274286,8087714
330429,8079241
160627,8075834
215889,8072986
524824,8072132
660297,8071472
627888,8064918
120536,8056354
219917,8055034
368392,8054790
530103,8050093
989740,8046159
100839,8036700
037710,8033650
339205,8033367
636266,8033071
379119,8028585
375234,8028317
633828,8027670
883096,8026953
672931,8025995
705357,8025391
758417,8024568
662726,8024228
910610,8023057
374431,8022076
197522,8020798
086543,8019607
118981,8019253
706595,8018502
027243,8010177
160245,8008422
675034,8005061
233492,8001172
339423,8000178
023289,7999790
596915,7997674
397309,7996743
220251,7986419
522771,7986038
699437,7976670
156205,7974433
510144,7973346
090779,7972577
792558,7967786
059495,7967541
953617,7966431
409734,7964584
521892,7964176
702739,7963836
935834,7956332
221916,7954672
524001,7953619
802834,7953359
370389,7952531
700279,7952481
910645,7947595
588524,7946700
563993,7946096
320779,7943733
410185,7942714
835611,7941014
888915,7939254
801480,7936390
921866,7934824
572382,7934187
900091,7929191
400244,7929181
219417,7928179
272035,7923885
317157,7917666
366143,7912793
941991,7910162
348842,7907557
015788,7904740
230378,7901575
079586,7897617
130418,7896397
004387,7893759
997733,7891920
150884,7889973
656187,7889571
563017,7888840
817584,7888786
686247,7888496
485711,7887123
508540,7886702
020264,7880527
743712,7876502
119017,7876367
655187,7875577
341153,7875274
123301,7867063
135269,7865724
598334,7864697
696397,7854668
229780,7854370
264947,7851409
011044,7851377
933512,7850741
439775,7850022
046805,7848718
559199,7848406
910579,7847970
464452,7847952
379773,7847057
192233,7845247
025685,7843362
702796,7839528
717283,7839298
712457,7838696
497925,7834443
077069,7829964
647727,7828551
359373,7823369
607480,7820923
204459,7819817
981206,7818803
824271,7818420
966017,7814755
086619,7814332
890965,7814058
102913,7812512
199831,7811365
685418,7811096
298041,7810114
393981,7809851
034400,7808530
698116,7803429
843735,7801359
905953,7797600
877367,7797422
402503,7794196
804483,7789789
433857,7789751
192991,7789097
410704,7786767
461759,7786200
574728,7782641
502845,7781956
716112,7779332
947784,7778728
882432,7773554
754787,7772211
963106,7766042
150718,7765126
079186,7764173
383499,7761828
472144,7760324
649553,7759594
282897,7756328
485065,7749972
111962,7748739
205015,7745622
058104,7742439
803620,7731004
599915,7729054
035932,7723524
948071,7720007
653905,7718466
369470,7717418
321280,7715547
743809,7715516
287511,7712737
123693,7712093
210999,7707427
172666,7704828
477078,7703947
955554,7703635
870694,7696476
635600,7696229
367498,7695413
478764,7692113
882191,7691723
942942,7690478
000901,7689756
027791,7683308
315980,7682802
306710,7679061
075133,7678375
332484,7677908
953916,7673920
952050,7673133
514145,7671859
657994,7670616
939995,7665770
350162,7664909
306261,7663283
669150,7662923
493687,7661896
133325,7661789
859556,7661114
896082,7660341
451907,7656900
724862,7656054
736430,7654521
028473,7653801
660473,7652948
153599,7650018
166351,7649200
848453,7648942
332520,7647701
089072,7647369
739745,7640827
504531,7635832
074528,7634873
757278,7632239
998637,7631884
034615,7630434
720277,7630331
308215,7630155
513112,7629789
842248,7629439
389286,7629425
242837,7628245
804091,7624571
877898,7620487
841346,7615303
946128,7614402
171548,7613331
273439,7612415
765343,7608127
943586,7606748
133004,7606304
279576,7605613
635330,7605239
553368,7605203
698317,7604567
897620,7604468
108283,7601749
912346,7596872
082442,7596468
560525,7594032
856373,7591978
275855,7590780
217225,7588812
858654,7585893
673742,7584764
444332,7581996
897785,7580378
448098,7579643
234903,7579205
491732,7576231
704368,7575431
803138,7575186
793317,7573218
045514,7572505
360427,7571549
731831,7568406
173415,7566431
705740,7564573
767210,7563603
577209,7563436
345057,7558210
164860,7557725
037847,7545556
505392,7542385
016930,7542335
039185,7540616
763382,7540593
430060,7537233
419154,7535665
175400,7533439
295665,7531709
250975,7530363
076800,7526666
842298,7526589
687515,7522959
613787,7519543
393860,7516744
999692,7513060
383353,7512530
505386,7510363
338322,7507118
721443,7506628
916020,7505391
282323,7503467
049683,7497210
998526,7496230
332493,7495354
173316,7493207
584864,7490774
379572,7488947
046815,7487961
413596,7487656
178444,7485792
790701,7485490
609350,7485417
314563,7485017
401484,7480611
113996,7477327
418121,7476639
342575,7474539
723884,7473709
737962,7470028
676784,7468895
478314,7468599
274708,7468393
079493,7466639
719692,7465390
034463,7462552
748209,7459923
207620,7455372
221642,7455135
192729,7453323
190566,7449404
078307,7447821
653189,7443222
323135,7441138
032313,7441137
791849,7441044
368363,7440756
072657,7440158
577145,7439614
409376,7439446
911007,7438605
069836,7437984
180710,7437913
427743,7436377
941961,7434443
239372,7420842
485109,7419834
585509,7419349
002328,7418766
828354,7418298
550070,7418282
267995,7417426
761747,7415337
541831,7414143
418187,7414118
501428,7411800
584475,7411087
349123,7408519
454870,7405784
716845,7404020
686235,7404005
817258,7403865
625024,7397300
961435,7395984
849583,7393881
820232,7391481
284025,7391419
026677,7391356
457838,7390865
649080,7390211
975208,7387533
741781,7386986
237893,7384205
234181,7382621
243765,7379779
778014,7374130
205743,7371782
508123,7371056
681227,7371022
997833,7368506
088041,7364812
201074,7356771
163568,7353794
170398,7351884
491742,7349108
095476,7348695
375239,7346787
446247,7346628
878516,7344745
387851,7344744
685963,7339778
466674,7337077
107428,7336086
492385,7332343
942431,7332063
